judge,decision,weight,ad hoc
23,29,1,False
110,29,1,False
79,29,1,False
46,29,-1,False
148,29,1,False
115,29,1,False
126,29,1,False
5,29,-1,False
127,29,1,False
106,29,1,False
65,29,1,False
68,29,1,False
81,29,1,False
142,29,1,False
103,29,1,False
116,29,1,True
23,15,1,False
126,15,1,False
5,15,1,False
19,15,1,False
1,15,1,False
61,15,1,False
75,15,1,False
157,15,1,False
129,15,1,False
81,15,1,False
123,15,1,False
103,15,1,False
27,15,1,False
65,15,1,True
28,100,1,False
12,100,1,False
14,100,1,False
8,100,1,False
10,100,1,False
63,100,1,False
93,100,1,False
159,100,1,False
155,100,1,False
112,100,1,False
66,100,1,False
69,100,1,False
77,100,1,False
113,100,1,False
132,100,1,True
28,101,-1,False
12,101,-1,False
14,101,1,False
10,101,1,False
93,101,1,False
159,101,1,False
112,101,-1,False
66,101,-1,False
69,101,1,False
77,101,1,False
113,101,1,False
23,14,1,False
5,14,1,False
19,14,-1,False
127,14,1,False
1,14,1,False
61,14,1,False
75,14,1,False
157,14,1,False
129,14,-1,False
81,14,-1,False
123,14,1,False
142,14,1,False
103,14,1,False
27,14,1,False
153,28,1,False
110,28,1,False
148,28,1,False
54,28,1,False
126,28,1,False
67,28,1,False
106,28,1,False
65,28,1,False
121,28,-1,False
100,28,-1,False
68,28,1,False
125,28,1,False
51,28,1,False
17,28,1,False
81,28,1,False
116,28,1,True
23,16,1,False
110,16,1,False
126,16,1,False
5,16,1,False
19,16,1,False
1,16,1,False
68,16,1,False
75,16,1,False
129,16,1,False
81,16,1,False
123,16,1,False
142,16,1,False
103,16,1,False
104,16,1,True
34,16,1,True
12,103,1,False
14,103,1,False
8,103,1,False
63,103,1,False
93,103,-1,False
39,103,1,False
159,103,1,False
155,103,1,False
66,103,1,False
69,103,1,False
77,103,1,False
113,103,-1,False
28,102,-1,False
12,102,1,False
14,102,1,False
8,102,-1,False
10,102,1,False
63,102,1,False
159,102,1,False
155,102,1,False
66,102,-1,False
69,102,1,False
77,102,1,False
113,102,-1,False
120,102,1,True
23,17,1,False
110,17,1,False
126,17,1,False
5,17,1,False
19,17,1,False
106,17,1,False
127,17,1,False
68,17,1,False
75,17,1,False
129,17,1,False
81,17,1,False
123,17,1,False
142,17,1,False
103,17,1,False
65,17,1,True
157,17,1,True
5,13,1,False
19,13,1,False
127,13,1,False
1,13,1,False
61,13,1,False
75,13,1,False
157,13,1,False
129,13,1,False
81,13,1,False
123,13,1,False
142,13,1,False
27,13,1,False
150,13,-1,True
143,13,1,True
83,106,1,False
14,106,1,False
8,106,1,False
63,106,1,False
93,106,1,False
39,106,1,False
155,106,1,False
66,106,1,False
69,106,1,False
77,106,1,False
113,106,1,False
26,106,1,True
6,106,1,True
83,112,-1,False
49,112,1,False
12,112,-1,False
14,112,1,False
8,112,1,False
63,112,1,False
93,112,1,False
39,112,1,False
159,112,1,False
155,112,1,False
66,112,-1,False
69,112,1,False
11,112,1,False
113,112,1,False
77,112,1,False
83,113,-1,False
49,113,1,False
12,113,1,False
14,113,1,False
8,113,1,False
63,113,1,False
93,113,1,False
39,113,1,False
159,113,-1,False
155,113,1,False
66,113,1,False
69,113,1,False
11,113,1,False
113,113,1,False
77,113,1,False
83,107,-1,False
12,107,1,False
14,107,1,False
8,107,1,False
63,107,1,False
93,107,1,False
39,107,1,False
159,107,-1,False
155,107,-1,False
66,107,1,False
69,107,1,False
11,107,-1,False
113,107,-1,False
77,107,1,False
41,12,-1,False
5,12,1,False
19,12,1,False
127,12,-1,False
1,12,-1,False
61,12,1,False
75,12,1,False
157,12,1,False
129,12,1,False
81,12,1,False
123,12,1,False
