decision,year,age,age_squared,authority,citations_next_10_years,citations_next_2_years,citations_next_3_years,citations_next_4_years,citations_next_5_years,citations_next_6_years,citations_next_7_years,citations_next_8_years,citations_next_9_years,citations_next_year,current_year,hub,in_degree,lagged_citations_next_10_years,lagged_citations_next_10_years_2,lagged_citations_next_10_years_3,lagged_citations_next_10_years_4,lagged_citations_next_10_years_5,lagged_citations_next_2_years,lagged_citations_next_2_years_2,lagged_citations_next_2_years_3,lagged_citations_next_2_years_4,lagged_citations_next_2_years_5,lagged_citations_next_3_years,lagged_citations_next_3_years_2,lagged_citations_next_3_years_3,lagged_citations_next_3_years_4,lagged_citations_next_3_years_5,lagged_citations_next_4_years,lagged_citations_next_4_years_2,lagged_citations_next_4_years_3,lagged_citations_next_4_years_4,lagged_citations_next_4_years_5,lagged_citations_next_5_years,lagged_citations_next_5_years_2,lagged_citations_next_5_years_3,lagged_citations_next_5_years_4,lagged_citations_next_5_years_5,lagged_citations_next_6_years,lagged_citations_next_6_years_2,lagged_citations_next_6_years_3,lagged_citations_next_6_years_4,lagged_citations_next_6_years_5,lagged_citations_next_7_years,lagged_citations_next_7_years_2,lagged_citations_next_7_years_3,lagged_citations_next_7_years_4,lagged_citations_next_7_years_5,lagged_citations_next_8_years,lagged_citations_next_8_years_2,lagged_citations_next_8_years_3,lagged_citations_next_8_years_4,lagged_citations_next_8_years_5,lagged_citations_next_9_years,lagged_citations_next_9_years_2,lagged_citations_next_9_years_3,lagged_citations_next_9_years_4,lagged_citations_next_9_years_5,lagged_citations_next_year,lagged_citations_next_year_2,lagged_citations_next_year_3,lagged_citations_next_year_4,lagged_citations_next_year_5,network_size,num_votes,out_degree,pagerank,reverse_pagerank,topic,type,unanimity
110,1948,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1948,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0.0,0.5000000000000000,0.07453452764985300,"agression, use of force",jurisdiction,1.0
113,1948,0,0,1.0,1,1,1,1,1,1,1,1,1,0,1948,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0.0,0.50000000000000000,0.07453452764985300,international organisations,advisory,0.8666666666666670
111,1949,0,0,0.0,1,0,0,0,0,1,1,1,1,0,1949,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0.0,0.25000000000000000,0.03726726382492650,"agression, use of force",merits,0.7333333333333330
112,1949,0,0,0.0,1,0,0,0,1,1,1,1,1,0,1949,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0.0,0.25,0.03726726382492650,international organisations,advisory,0.8
110,1949,1,1,0.0,0,0,0,0,0,0,0,0,0,0,1949,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,4,16,0.0,0.25,0.03726726382492650,"agression, use of force",jurisdiction,1.0
113,1949,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1949,1.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,4,15,0.0,0.25,0.03726726382492650,international organisations,advisory,0.8666666666666670
111,1950,1,1,0.0,2,0,0,0,1,1,1,1,1,0,1950,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,8,15,0.0,0.0959145636461936,0.01863363191246320,"agression, use of force",merits,0.7333333333333330
112,1950,1,1,0.0,1,0,0,1,1,1,1,1,1,0,1950,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,8,15,0.0,0.09591456364619380,0.01863363191246320,international organisations,advisory,0.8
108,1950,0,0,0.0,1,0,0,0,0,1,1,1,1,0,1950,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0.0,0.09591456364619380,0.01863363191246320,"colonization, occupation",advisory,0.7857142857142860
106,1950,0,0,0.0,1,1,1,1,1,1,1,1,1,0,1950,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0.0,0.09591456364619380,0.01863363191246320,criminal matters,merits,1.0
110,1950,2,4,0.0,0,0,0,0,0,0,0,0,0,0,1950,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8,16,0.0,0.09591456364619380,0.01863363191246320,"agression, use of force",jurisdiction,1.0
113,1950,2,4,1.0,0,0,0,0,0,0,0,0,0,0,1950,0.0,0.125,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0.0,0,0,0,8,15,0.0,0.24698138422267100,0.01863363191246320,international organisations,advisory,0.8666666666666670
109,1950,0,0,0.0,2,1,1,1,1,1,1,1,1,1,1950,0.0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0.125,0.17753123390016600,0.03448956591893310,international organisations,advisory,0.8571428571428570
107,1950,0,0,0.0,1,1,1,1,1,1,1,1,1,0,1950,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0.125,0.09591456364619380,0.04798187082216410,divers,advisory,0.6428571428571430
111,1951,2,4,0.0,2,0,0,1,1,1,1,1,2,0,1951,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11,15,0.0,0.06666240125337730,0.013551732299973300,"agression, use of force",merits,0.7333333333333330
112,1951,2,4,0.0,1,0,1,1,1,1,1,1,1,0,1951,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11,15,0.0,0.0666624012533772,0.013551732299973300,international organisations,advisory,0.8
104,1951,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1951,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0.0,0.06666240125337720,0.013551732299973300,criminal matters,merits,1.0
103,1951,0,0,0.0,1,0,0,0,0,0,1,1,1,0,1951,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0.0,0.06666240125337720,0.013551732299973300,law of the sea,merits,0.8333333333333330
108,1951,1,1,0.0,1,0,0,0,1,1,1,1,1,0,1951,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,11,14,0.0,0.06666240125337720,0.013551732299973300,"colonization, occupation",advisory,0.7857142857142860
106,1951,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1951,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,11,13,0.0,0.06666240125337720,0.013551732299973300,criminal matters,merits,1.0
110,1951,3,9,0.0,0,0,0,0,0,0,0,0,0,0,1951,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,11,16,0.0,0.06666240125337720,0.013551732299973300,"agression, use of force",jurisdiction,1.0
113,1951,3,9,0.0,0,0,0,0,0,0,0,0,0,0,1951,0.0,0.09090909090909090,1.0,0,0,0,0,1.0,0.0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0.0,1.0,0.0,0,0,11,15,0.0,0.21992578731717500,0.013551732299973300,international organisations,advisory,0.8666666666666670
109,1951,1,1,1.0,1,0,0,0,0,0,0,0,1,0,1951,0.0,0.18181818181818200,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,11,14,0.09090909090909090,0.18011260140243000,0.025083320668315000,international organisations,advisory,0.8571428571428570
